testcase;time;mutants;score;samples
ujson;5312;822;47.931873;40
ujson;5094;823;47.873634;40
ujson;4638;746;47.319035;40
ujson;4865;770;49.22078;40
ujson;4898;807;47.95539;40
ujson;5015;797;45.67127;40
ujson;5124;789;45.500633;40
ujson;4755;768;46.744793;40
ujson;6074;1018;46.26719;50
ujson;6026;1025;47.02439;50
ujson;5803;978;45.91002;50
ujson;6165;1003;46.460617;50
ujson;5800;958;44.154488;50
ujson;5800;986;46.146046;50
ujson;5887;1000;46.0;50
ujson;5842;986;48.07302;50
ujson;5981;974;45.482548;50
ujson;5808;976;45.69672;50
ujson;5982;1025;47.02439;50
ujson;5933;1020;47.058823;50
ujson;6100;1025;46.439026;50
ujson;5959;1001;46.553448;50
ujson;5934;1015;46.69951;50
